love	2931	2718	213	54.36%	4.28%	92.72%	7.28%	92.72%	7.28%	
interested	258	253	5	5.23%	0.29%	97.88%	2.12%	97.88%	2.12%	
40	697	665	32	13.35%	0.71%	95.34%	4.66%	95.34%	4.66%	
date	645	630	15	12.66%	0.38%	97.60%	2.40%	97.60%	2.40%	
yes	185	25	160	0.77%	3.45%	13.71%	86.29%	13.71%	86.29%	
olderdatingyounger	47	47	0	1.96%	1.04%	98.96%	1.04%	98.96%	1.04%	
focused	341	340	1	6.93%	0.17%	99.56%	0.44%	99.56%	0.44%	
community	585	567	18	11.41%	0.44%	96.84%	3.16%	96.84%	3.16%	
young	625	512	113	10.30%	2.34%	81.87%	18.13%	81.87%	18.13%	
guys	230	154	76	3.28%	1.73%	66.88%	33.12%	66.88%	33.12%	
appreciate	30	24	6	2.08%	1.73%	79.03%	20.97%	79.03%	20.97%	
maturity	24	22	2	2.42%	2.04%	90.00%	10.00%	90.00%	10.00%	
boomer	37	34	3	1.98%	1.37%	90.79%	9.21%	90.79%	9.21%	
b	161	113	48	2.55%	1.26%	70.06%	29.94%	70.06%	29.94%	
oomermingle	28	28	0	2.26%	1.72%	98.28%	1.72%	98.28%	1.72%	
it's	2171	1772	399	35.45%	8.00%	81.61%	18.39%	81.61%	18.39%	
meeting	502	496	6	10.00%	0.22%	98.71%	1.29%	98.71%	1.29%	
senior	974	970	4	19.43%	0.13%	99.54%	0.46%	99.54%	0.46%	
relatively	93	92	1	2.35%	0.55%	98.40%	1.60%	98.40%	1.60%	
career	57	52	5	1.88%	0.96%	90.52%	9.48%	90.52%	9.48%	
understand	307	223	84	4.61%	1.84%	72.56%	27.44%	72.56%	27.44%	
treat	199	191	8	4.05%	0.41%	95.75%	4.25%	95.75%	4.25%	
marriage	82	76	6	2.10%	0.72%	92.17%	7.83%	92.17%	7.83%	
searching	454	453	1	9.15%	0.13%	99.67%	0.33%	99.67%	0.33%	
own	287	103	184	2.23%	3.84%	35.94%	64.06%	35.94%	64.06%	
old	526	411	115	8.30%	2.39%	78.08%	21.92%	78.08%	21.92%	
living	108	48	60	1.41%	1.65%	44.50%	55.50%	44.50%	55.50%	
feel	416	275	141	5.61%	2.93%	66.07%	33.93%	66.07%	33.93%	
lonely	344	342	2	6.97%	0.18%	99.28%	0.72%	99.28%	0.72%	
very	457	252	205	5.14%	4.20%	55.13%	44.87%	55.13%	44.87%	
common	58	30	28	1.44%	1.40%	51.69%	48.31%	51.69%	48.31%	
prefer	66	60	6	1.93%	0.86%	90.30%	9.70%	90.30%	9.70%	
as	1567	653	914	13.08%	18.30%	41.68%	58.32%	41.68%	58.32%	
usually	247	229	18	4.76%	0.56%	92.54%	7.46%	92.54%	7.46%	
stable	329	327	2	6.67%	0.19%	99.24%	0.76%	99.24%	0.76%	
why	689	367	322	7.40%	6.50%	53.26%	46.74%	53.26%	46.74%	
not	2158	716	1442	14.34%	28.85%	33.19%	66.81%	33.19%	66.81%	
much	543	306	237	6.20%	4.82%	56.34%	43.66%	56.34%	43.66%	
partner	132	130	2	2.96%	0.42%	98.12%	1.88%	98.12%	1.88%	
trending	15	13	2	3.37%	3.16%	84.38%	15.63%	84.38%	15.63%	
nowadays	60	55	5	1.90%	0.92%	90.98%	9.02%	90.98%	9.02%	
simply	226	195	31	4.10%	0.84%	86.12%	13.88%	86.12%	13.88%	
worthy	206	193	13	4.08%	0.50%	93.48%	6.52%	93.48%	6.52%	
​​​​​​​​​​​​	80	80	0	2.20%	0.62%	99.38%	0.62%	99.38%	0.62%	
​​​​​​h​​​	27	27	0	2.31%	1.79%	98.21%	1.79%	98.21%	1.79%	
​​​ϲ​	4	4	0	10.06%	10.00%	90.00%	10.00%	90.00%	10.00%	
​​​ō	5	5	0	8.42%	8.33%	91.67%	8.33%	91.67%	8.33%	
​​​​ɱ	5	5	0	8.42%	8.33%	91.67%	8.33%	91.67%	8.33%	
​​​​​​​	90	89	1	2.31%	0.57%	98.35%	1.65%	98.35%	1.65%	
singe	4	4	0	10.06%	10.00%	90.00%	10.00%	90.00%	10.00%	
without	209	106	103	2.35%	2.29%	50.71%	49.29%	50.71%	49.29%	
special	518	489	29	9.86%	0.68%	94.32%	5.68%	94.32%	5.68%	
long	344	224	120	4.61%	2.54%	65.07%	34.93%	65.07%	34.93%	
dry	99	92	7	2.32%	0.64%	92.50%	7.50%	92.50%	7.50%	
period	167	141	26	3.10%	0.81%	84.23%	15.77%	84.23%	15.77%	
o	419	388	31	7.86%	0.74%	92.50%	7.50%	92.50%	7.50%	
m	205	183	22	3.88%	0.68%	89.08%	10.92%	89.08%	10.92%	
p	96	63	33	1.76%	1.17%	65.46%	34.54%	65.46%	34.54%	
​​d	15	15	0	3.41%	3.13%	96.88%	3.13%	96.88%	3.13%	
0	241	225	16	4.69%	0.53%	93.18%	6.82%	93.18%	6.82%	
offers	94	91	3	2.33%	0.59%	96.32%	3.68%	96.32%	3.68%	
great	616	507	109	10.20%	2.26%	82.25%	17.75%	82.25%	17.75%	
platform	94	92	2	2.35%	0.57%	97.37%	2.63%	97.37%	2.63%	
activities	95	94	1	2.38%	0.54%	98.44%	1.56%	98.44%	1.56%	
partners	94	94	0	2.39%	0.53%	99.47%	0.53%	99.47%	0.53%	
people	1656	505	1151	10.12%	23.04%	30.51%	69.49%	30.51%	69.49%	
travel	149	142	7	3.15%	0.47%	95.00%	5.00%	95.00%	5.00%	
companions	95	94	1	2.38%	0.54%	98.44%	1.56%	98.44%	1.56%	
dream	112	101	11	2.44%	0.66%	89.82%	10.18%	89.82%	10.18%	
lover	107	105	2	2.54%	0.50%	97.69%	2.31%	97.69%	2.31%	
whoever	20	4	16	2.46%	2.69%	21.43%	78.57%	21.43%	78.57%	
beats	4	1	3	10.02%	10.05%	30.00%	70.00%	30.00%	70.00%	
most	316	121	195	2.57%	4.05%	38.33%	61.67%	38.33%	61.67%	
meat	16	9	7	3.11%	3.07%	55.88%	44.12%	55.88%	44.12%	
mer	6	6	0	7.25%	7.14%	92.86%	7.14%	92.86%	7.14%	
l	78	65	13	1.92%	0.89%	82.91%	17.09%	82.91%	17.09%	
dn't	2	2	0	16.69%	16.67%	83.33%	16.67%	83.33%	16.67%	
need	364	134	230	2.81%	4.72%	36.85%	63.15%	36.85%	63.15%	
because	671	230	441	4.67%	8.88%	34.30%	65.70%	34.30%	65.70%	
some	508	87	421	1.83%	8.50%	17.19%	82.81%	17.19%	82.81%	
reason	83	10	73	0.79%	2.04%	12.50%	87.50%	12.50%	87.50%	
actually	126	42	84	1.23%	2.06%	33.46%	66.54%	33.46%	66.54%	
